Month,President,Party,MQScore,Justice,Value
Dec-00,Clinton,Dem,J1MQ,J P Stevens,-1.8098
Dec-00,Clinton,Dem,J2MQ,R Ginsburg,-1.731
Dec-00,Clinton,Dem,J3MQ,S Breyer,-1.2332
Dec-00,Clinton,Dem,J4MQ,D Souter,-0.7725
Dec-00,Clinton,Dem,J5MQ,A Kennedy,0.6823
Dec-00,Clinton,Dem,J6MQ,S D O'Connor,1.0147
Dec-00,Clinton,Dem,J7MQ,A Scalia,2.5145
Dec-00,Clinton,Dem,J8MQ,W Rehnquist,2.969
Dec-00,Clinton,Dem,J9MQ,C Thomas,3.6037
Nov-00,Clinton,Dem,J1MQ,J P Stevens,-1.8098
Nov-00,Clinton,Dem,J2MQ,R Ginsburg,-1.731
Nov-00,Clinton,Dem,J3MQ,S Breyer,-1.2332
Nov-00,Clinton,Dem,J4MQ,D Souter,-0.7725
Nov-00,Clinton,Dem,J5MQ,A Kennedy,0.6823
Nov-00,Clinton,Dem,J6MQ,S D O'Connor,1.0147
Nov-00,Clinton,Dem,J7MQ,A Scalia,2.5145
Nov-00,Clinton,Dem,J8MQ,W Rehnquist,2.969
Nov-00,Clinton,Dem,J9MQ,C Thomas,3.6037
Oct-00,Clinton,Dem,J1MQ,J P Stevens,-1.8098
Oct-00,Clinton,Dem,J2MQ,R Ginsburg,-1.731
Oct-00,Clinton,Dem,J3MQ,S Breyer,-1.2332
Oct-00,Clinton,Dem,J4MQ,D Souter,-0.7725
Oct-00,Clinton,Dem,J5MQ,A Kennedy,0.6823
Oct-00,Clinton,Dem,J6MQ,S D O'Connor,1.0147
Oct-00,Clinton,Dem,J7MQ,A Scalia,2.5145
Oct-00,Clinton,Dem,J8MQ,W Rehnquist,2.969
Oct-00,Clinton,Dem,J9MQ,C Thomas,3.6037
Sep-00,Clinton,Dem,J1MQ,J P Stevens,-1.8098
Sep-00,Clinton,Dem,J2MQ,R Ginsburg,-1.731
Sep-00,Clinton,Dem,J3MQ,S Breyer,-1.2332
Sep-00,Clinton,Dem,J4MQ,D Souter,-0.7725
Sep-00,Clinton,Dem,J5MQ,A Kennedy,0.6823
Sep-00,Clinton,Dem,J6MQ,S D O'Connor,1.0147
Sep-00,Clinton,Dem,J7MQ,A Scalia,2.5145
